0,../input/brain-tumor-classification-mri/Training/no_tumor/1.jpg,no_tumor
1,../input/brain-tumor-classification-mri/Training/no_tumor/2.jpg,no_tumor
2,../input/brain-tumor-classification-mri/Training/no_tumor/3.jpg,no_tumor
3,../input/brain-tumor-classification-mri/Training/no_tumor/4.jpg,no_tumor
4,../input/brain-tumor-classification-mri/Training/no_tumor/5.jpg,no_tumor
5,../input/brain-tumor-classification-mri/Training/no_tumor/6.jpg,no_tumor
6,../input/brain-tumor-classification-mri/Training/no_tumor/7.jpg,no_tumor
7,../input/brain-tumor-classification-mri/Training/no_tumor/8.jpg,no_tumor
8,../input/brain-tumor-classification-mri/Training/no_tumor/image (10).jpg,no_tumor
9,../input/brain-tumor-classification-mri/Training/no_tumor/image (11).jpg,no_tumor
10,../input/brain-tumor-classification-mri/Training/no_tumor/image (12).jpg,no_tumor
11,../input/brain-tumor-classification-mri/Training/no_tumor/image (13).jpg,no_tumor
12,../input/brain-tumor-classification-mri/Training/no_tumor/image (14).jpg,no_tumor
13,../input/brain-tumor-classification-mri/Training/no_tumor/image (15).jpg,no_tumor
14,../input/brain-tumor-classification-mri/Training/no_tumor/image (16).jpg,no_tumor
15,../input/brain-tumor-classification-mri/Training/no_tumor/image (17).jpg,no_tumor
16,../input/brain-tumor-classification-mri/Training/no_tumor/image (18).jpg,no_tumor
17,../input/brain-tumor-classification-mri/Training/no_tumor/image (19).jpg,no_tumor
18,../input/brain-tumor-classification-mri/Training/no_tumor/image (20).jpg,no_tumor
19,../input/brain-tumor-classification-mri/Training/no_tumor/image (21).jpg,no_tumor
20,../input/brain-tumor-classification-mri/Training/no_tumor/image (22).jpg,no_tumor
21,../input/brain-tumor-classification-mri/Training/no_tumor/image (23).jpg,no_tumor
22,../input/brain-tumor-classification-mri/Training/no_tumor/image (24).jpg,no_tumor
23,../input/brain-tumor-classification-mri/Training/no_tumor/image (25).jpg,no_tumor
24,../input/brain-tumor-classification-mri/Training/no_tumor/image (26).jpg,no_tumor
25,../input/brain-tumor-classification-mri/Training/no_tumor/image (27).jpg,no_tumor
26,../input/brain-tumor-classification-mri/Training/no_tumor/image (28).jpg,no_tumor
27,../input/brain-tumor-classification-mri/Training/no_tumor/image (29).jpg,no_tumor
28,../input/brain-tumor-classification-mri/Training/no_tumor/image (30).jpg,no_tumor
29,../input/brain-tumor-classification-mri/Training/no_tumor/image (31).jpg,no_tumor
30,../input/brain-tumor-classification-mri/Training/no_tumor/image (32).jpg,no_tumor
31,../input/brain-tumor-classification-mri/Training/no_tumor/image (33).jpg,no_tumor
32,../input/brain-tumor-classification-mri/Training/no_tumor/image (34).jpg,no_tumor
33,../input/brain-tumor-classification-mri/Training/no_tumor/image (35).jpg,no_tumor
34,../input/brain-tumor-classification-mri/Training/no_tumor/image (36).jpg,no_tumor
35,../input/brain-tumor-classification-mri/Training/no_tumor/image (37).jpg,no_tumor
36,../input/brain-tumor-classification-mri/Training/no_tumor/image (38).jpg,no_tumor
37,../input/brain-tumor-classification-mri/Training/no_tumor/image (39).jpg,no_tumor
38,../input/brain-tumor-classification-mri/Training/no_tumor/image (4).jpg,no_tumor
